2 Live Crew,1986,li 0.4223680415587048,dee 0.28157869437246985,bus 0.2502921727755288,tre 0.23464891197705823,treach 0.21900565117858767,jay 0.18771912958164658,rhyme 0.18771912958164658,check 0.14078934718623493,kisha 0.14078934718623493,bro 0.14078934718623493
2 Live Crew,1987,diddy 0.6879681682216455,doo 0.33468721697269244,dum 0.26031227986764965,wah 0.24171854559138897,bedroom 0.1859373427626069,pass 0.11156240565756415,heyyy 0.11156240565756415,bootyyyyyyyy 0.11156240565756415,m 0.105243325010141,booty 0.10086311059089793
2 Live Crew,1989,fillin 0.3226923639023378,less 0.27304738484043967,shop 0.23167656895552458,woman 0.22245677224107976,pretty 0.1985799162475925,bald 0.17375742671664343,hairy 0.12411244765474531,bear 0.12411244765474531,timin 0.12411244765474531,eat 0.10537426053524832
2 Live Crew,1990,martinez 0.746879034699226,bart 0.24895967823307533,hear 0.11316349010594333,america 0.11316349010594333,if 0.11316349010594333,fuck 0.11272102066376855,okay 0.10561925743221377,neva-ro 0.09053079208475466,nevaro 0.09053079208475466,allright 0.09053079208475466
2 Live Crew,1991,ha 0.3416733911307878,lack 0.21305196628331974,slip 0.1704415730266558,rappin 0.1704415730266558,behavior 0.1704415730266558,fuck 0.14147928848427127,crack 0.12783117976999184,cold 0.12783117976999184,protection 0.12783117976999184,nigga!yo 0.12783117976999184
2 Live Crew,1994,tell 0.3487920283907651,yeahhh 0.2790336227126121,go 0.2441544198735356,you 0.23650607517902736,holla 0.20927521703445906,lsd 0.20927521703445906,fried 0.20927521703445906,alum 0.20927521703445906,kentucky 0.20927521703445906,dip 0.20927521703445906
2 Live Crew,1996,skeet 0.3658521505140511,uhh 0.2814247311646547,bulldagger 0.2814247311646547,pump 0.26266308242034436,ha 0.2522101469542208,savage 0.22513978493172376,damn 0.2123874921719754,thang 0.18761648744310314,show 0.11256989246586188,hoe 0.10318906809370672
2 Live Crew,1998,it 0.5981049688585865,on 0.2539022878319715,2 0.17943149065757596,party 0.17872991321854928,funkin 0.14354519252606077,nelly 0.14354519252606077,crew 0.13158309314888905,live 0.1290827151022856,imagine 0.10765889439454558,ow 0.10765889439454558
A Tribe Called Quest,1990,rhythms 0.2783715710102083,lucien 0.25886411305418583,propmaster 0.2474413964535185,cholesterol 0.21651122189682867,ham 0.19912624081091218,nope 0.1855810473401389,wallet 0.17921361672982097,enemy 0.15465087278344905,bonita 0.09956312040545609,chicken 0.09427439142144452
A Tribe Called Quest,1991,vibe 0.1836017582366572,business 0.1560614945011586,what's 0.13798952686223184,date 0.12768493399915978,trouble 0.12768493399915978,rhyme 0.12143078363876403,job 0.11119441607691018,fly 0.0972951140672964,dough 0.0972951140672964,lane 0.09576370049936984
A Tribe Called Quest,1993,award 0.3080857249639326,god! 0.26585996715653365,la 0.24466401608196361,sun'll 0.21268797372522694,represent 0.2053904833092884,whassup 0.1026952416546442,i 0.09939475653329771,zoo 0.09260965371652011,oowop 0.08557936804553683,houston 0.08557936804553683
A Tribe Called Quest,1996,motivate 0.2959853370387432,phony 0.26638680333486886,drifting 0.20960855597764785,section 0.17759120222324593,mcs 0.16754322689095488,k.i.m 0.15244258616556208,blah 0.11839413481549728,worry 0.10310352424058762,willie 0.09527661635347628,friggin 0.08879560111162296
A Tribe Called Quest,1998,it 0.13631036086870923,ya'll 0.13631036086870923,bump 0.12285788290998166,noble 0.10904828869496738,say 0.10683528163092358,movement 0.10530675677998429,shake 0.08775563064998688,reggie 0.08775563064998688,ha 0.08775563064998688,jazz 0.08624198094878203
A Tribe Called Quest,1999,award 0.35136361253107706,onnnnnnn 0.27288562833803526,lucien 0.2537626090502223,wallet 0.17568180626553853,k.i.m 0.1561616055693676,bonita 0.11712120417702569,worry 0.10561885815676136,applebum 0.09760100348085474,oowop 0.09760100348085474,tour 0.09437068587494557
A Tribe Called Quest,2016,trippin 0.35577931942047186,kids 0.3367721696589122,generation 0.26296732304991405,problem 0.23202999092639473,solid 0.2290481688184991,pistachio 0.20109265880287544,conrad 0.20109265880287544,sapporo 0.20109265880287544,wall 0.1549151980430996,trini 0.13921799455583683
Beastie Boys,1986,m.c.a 0.2967189975741006,monkey 0.2260716171993147,girls 0.1836831889744432,brass 0.16712785638673566,cold 0.16224926428191783,locker 0.16224926428191783,coolin 0.16224926428191783,gun 0.14623687433839372,def 0.14129476074957167,girl 0.13998166860450523
Beastie Boys,1989,egg 0.34750749843098716,ryall 0.21385076826522287,johnny 0.21385076826522287,drifter 0.16038807619891715,clout 0.1336567301657643,girl 0.11531326315487586,rope 0.10692538413261143,m.c 0.0931159634895005,science 0.08147646805331295,cop 0.08019403809945858
